class,temper_aver,prec_aver,soil_type,soil_structure,landform,corrosion_degree,Drainage_degree,soil_depth,LV2_CODE,lithoidx,FIFTH_FRTP,DMCLS,AGCLS,slope,dem
0,11.90833,108,1,11,7,1,4,4,150,66,1,1,1,2.80079,42.22871
0,11.81667,106.25,3,10,4,1,4,4,110,12,1,1,1,1.79996,16.89801
0,10.36667,99.75,13,4,1,2,1,3,310,62,6,2,4,15.84276,384.88562
0,10.84167,106.41666,9,1,3,1,2,2,220,47,6,3,5,16.6328,215.16759
0,8.20833,111,9,3,5,1,2,2,310,38,15,3,5,16.20722,838.97791
0,9.86667,105.08334,8,4,2,2,1,3,220,12,1,1,1,7.80779,269.30563
0,11.15,108,13,4,1,2,2,3,320,56,16,3,5,8.83644,82.11939
0,9.71667,105.25,13,4,1,2,1,3,320,58,15,2,4,17.91708,388.77948
0,11.5,97.58334,13,4,1,2,1,3,330,12,9,3,5,1.2678,193.94098
0,11.475,109.83334,13,4,1,2,1,3,320,47,16,2,4,17.02757,194.72523
0,10.85833,107.58334,13,4,1,2,1,3,320,12,16,2,4,11.69895,121.44708
0,10.5,105.5,13,4,1,2,1,3,150,12,1,1,1,2.74083,241.66441
0,9.23333,108.91666,13,1,1,2,1,1,320,18,19,1,1,25.97998,508.82404
0,8.80833,109.91666,13,4,1,2,1,3,320,58,4,4,7,25.72461,587.30359
0,9.63333,109.83334,13,1,2,2,2,3,310,39,9,3,5,25.79523,480.52197
0,7.775,112,13,3,1,1,1,2,310,15,6,3,5,22.30506,802.14746
0,9.025,107.66666,13,1,1,2,1,1,320,63,9,3,6,21.69728,653.16998
0,10.26667,107.66666,13,4,1,2,1,3,320,12,4,3,6,3.2536,302.21866
0,8.05833,111.66666,13,5,1,2,2,3,330,4,9,3,6,19.56215,721.47845
0,10.75833,104.33334,13,4,1,2,1,2,710,1,1,1,1,0.63078,162.54132
0,9.10833,108.33334,13,2,1,2,1,2,330,38,6,3,6,9.38791,656.51648
0,10.75,107.08334,13,4,1,2,1,2,330,12,9,3,5,3.5762,164.49147
0,11.7,106.5,8,7,2,2,2,3,210,12,1,1,1,1.7696,36.24653
0,11.05,107.91666,3,10,4,1,4,4,210,66,1,1,1,0.22191,79.91132
0,10.45,105.16666,10,5,3,1,2,3,320,7,15,3,5,8.29546,299.60367
0,11.85,106.25,1,11,8,1,4,4,210,66,1,1,1,0.01401,5.60333
0,,,,,,,,,,,,,,,
0,6.31667,119.25,13,4,1,2,1,2,310,9,9,2,4,20.41175,1248.66882
0,10.675,102.25,13,9,1,1,2,3,110,4,1,1,1,7.33307,216.07547
0,10.10833,108.41666,13,4,1,2,1,3,310,12,6,3,5,10.28114,303.97546
0,11.08333,106.91666,7,4,4,1,2,4,240,12,16,3,5,3.13198,101.13665
0,10.01667,107.08334,999,999,999,999,999,999,130,66,1,1,1,12.38565,118.82738
0,10.775,106.16666,13,1,2,2,2,3,320,35,4,3,5,19.92205,263.91599
0,10.99167,107.16666,8,7,2,2,2,3,320,12,9,3,5,3.26753,57.96919
0,10.7,104.83334,7,4,5,1,2,4,320,7,15,3,5,8.79945,242.75722
0,6.48333,116.66666,13,5,1,2,1,1,310,64,6,4,7,29.90031,1160.8158
0,10.89167,107.91666,13,4,1,2,2,3,330,12,9,3,6,17.51954,125.69497
0,6.725,115.16666,13,4,1,1,1,2,330,68,6,4,7,28.38361,1140.04224
0,7.525,113.25,13,3,1,1,1,2,310,50,6,3,6,9.02289,771.72198
0,10.49167,107.91666,9,4,5,1,2,2,220,12,1,1,1,2.47813,136.5914
0,10.04167,108.41666,13,4,1,2,1,3,320,12,9,3,5,9.21504,301.45181
0,9.98333,107.83334,8,7,2,2,2,3,160,12,1,1,1,6.98744,391.24936
0,11.31667,104.91666,7,4,4,1,2,4,110,12,1,1,1,3.00328,73.40739
0,9.46667,107.66666,13,5,1,2,2,3,310,33,6,2,4,35.22309,536.74915
0,7.86667,111.58334,13,5,1,2,1,1,320,68,9,3,6,26.58228,648.03503
0,8.96667,107.58334,13,4,1,2,1,3,330,12,6,3,5,5.93543,530.13007
0,8.05833,111.75,13,1,1,2,1,1,330,50,6,3,6,20.59027,662.21729
0,10.55833,103.25,13,4,1,2,1,2,310,10,15,2,4,11.63472,241.56128
0,9.35833,107.16666,13,4,1,2,1,3,320,58,6,2,4,11.51866,492.98279
0,9.85,106.41666,13,4,1,2,2,2,320,3,4,3,6,18.3734,321.85342
0,7.41667,115.5,13,4,1,2,1,2,310,56,6,4,7,21.09557,770.09583
0,10.625,107.5,3,4,4,1,4,4,330,12,1,1,1,8.66433,113.22738
0,10.90833,106.08334,13,4,1,2,1,3,710,34,1,1,1,7.96469,140.68224
0,11.20833,106.91666,7,4,4,1,2,4,220,12,1,1,1,2.87709,68.8783
0,11.26667,104.41666,13,4,1,2,1,2,320,19,16,2,4,5.73119,72.37476
0,11.075,105.33334,3,5,4,1,3,3,220,35,1,1,1,1.03022,109.6685
0,10.725,106.75,13,4,1,2,1,2,310,20,9,3,5,6.52342,191.82428
0,8.45833,110.41666,9,4,3,1,2,2,310,38,9,3,6,20.98729,707.67419
0,9.46667,107.91666,999,999,999,999,999,999,330,33,9,3,5,25.96564,414.16022
0,11.60833,106.75,10,5,6,1,2,3,430,66,1,1,1,2.04237,55.35828
0,8.35,109.5,11,4,3,1,2,2,320,12,4,3,6,10.28925,649.91602
0,11.01667,107.58334,13,4,1,2,1,3,330,12,9,2,4,0.9996,106.18456
0,11.65833,106.5,4,10,4,1,6,2,210,12,1,1,1,1.40317,49.67951
0,11.575,108.5,13,4,1,2,2,3,430,47,1,1,1,6.22019,28.68116
0,8.225,110.66666,13,7,1,1,2,3,320,12,4,4,8,15.31293,632.64404
0,8.91667,109,9,3,5,1,2,2,330,38,6,3,6,18.44454,553.6076
0,10.6,100.33334,13,4,1,2,1,3,320,12,4,3,6,19.96314,323.79062
0,11.64167,111.08334,7,1,7,1,2,4,140,12,1,1,1,1.74053,53.40306
0,10.9,107.25,13,4,1,2,1,3,320,11,6,3,5,8.97489,72.1845
0,11.85,110.5,8,1,2,2,1,1,110,12,1,1,1,8.96647,57.52172
0,11.01667,105.25,8,4,2,2,2,3,320,12,16,2,4,4.35725,106.08955
0,7.29167,111.83334,13,4,1,2,1,2,310,68,6,4,7,27.28981,951.93079
0,10.41667,109,13,4,1,2,1,2,330,47,9,3,5,10.35825,186.53127
0,7.125,116.5,13,1,1,2,1,1,310,47,9,3,6,20.92696,1100.72827
0,11.575,107.25,3,10,7,1,4,4,210,66,1,1,1,0.72047,21.28205
0,11.71667,107.33334,3,10,7,1,4,4,710,66,1,1,1,0.77668,7.3791
0,7.05833,114.08334,13,4,1,1,1,2,310,68,6,4,7,34.10653,982.22943
0,11.66667,107,1,10,7,1,4,4,210,47,1,1,1,2.41479,13.41528
0,8.775,109.25,13,9,1,1,2,3,320,40,15,2,4,15.08438,577.61487
